Insert: 20, 384, 143, 455, 374, 489, 274, 149, 267, 890, 547, 152, 756
Node: 274, Parent: nil, Left: 143, Right: 384, Color: Black
Node: 143, Parent: 274, Left: 20, Right: 152, Color: Black
Node: 384, Parent: 274, Left: 374, Right: 489, Color: Black
Node: 20, Parent: 143, Left: nil, Right: nil, Color: Black
Node: 152, Parent: 143, Left: 149, Right: 267, Color: Black
Node: 374, Parent: 384, Left: nil, Right: nil, Color: Black
Node: 489, Parent: 384, Left: 455, Right: 756, Color: Red
Node: 149, Parent: 152, Left: nil, Right: nil, Color: Red
Node: 267, Parent: 152, Left: nil, Right: nil, Color: Red
Node: 455, Parent: 489, Left: nil, Right: nil, Color: Black
Node: 756, Parent: 489, Left: 547, Right: 890, Color: Black
Node: 547, Parent: 756, Left: nil, Right: nil, Color: Red
Node: 890, Parent: 756, Left: nil, Right: nil, Color: Red

Insert: 118, 820, 886, 139, 749, 863, 569, 242, 935, 343, 193, 158, 78, 45, 728
Node: 274, Parent: nil, Left: 152, Right: 489, Color: Black
Node: 152, Parent: 274, Left: 143, Right: 242, Color: Red
Node: 489, Parent: 274, Left: 384, Right: 756, Color: Red
Node: 143, Parent: 152, Left: 118, Right: 149, Color: Black
Node: 242, Parent: 152, Left: 193, Right: 267, Color: Black
Node: 384, Parent: 489, Left: 374, Right: 455, Color: Black
Node: 756, Parent: 489, Left: 569, Right: 886, Color: Black
Node: 118, Parent: 143, Left: 45, Right: 139, Color: Red
Node: 149, Parent: 143, Left: nil, Right: nil, Color: Black
Node: 193, Parent: 242, Left: 158, Right: nil, Color: Black
Node: 267, Parent: 242, Left: nil, Right: nil, Color: Black
Node: 374, Parent: 384, Left: 343, Right: nil, Color: Black
Node: 455, Parent: 384, Left: nil, Right: nil, Color: Black
Node: 569, Parent: 756, Left: 547, Right: 749, Color: Red
Node: 886, Parent: 756, Left: 820, Right: 890, Color: Red
Node: 45, Parent: 118, Left: 20, Right: 78, Color: Black
Node: 139, Parent: 118, Left: nil, Right: nil, Color: Black
Node: 158, Parent: 193, Left: nil, Right: nil, Color: Red
Node: 343, Parent: 374, Left: nil, Right: nil, Color: Red
Node: 547, Parent: 569, Left: nil, Right: nil, Color: Black
Node: 749, Parent: 569, Left: 728, Right: nil, Color: Black
Node: 820, Parent: 886, Left: nil, Right: 863, Color: Black
Node: 890, Parent: 886, Left: nil, Right: 935, Color: Black
Node: 20, Parent: 45, Left: nil, Right: nil, Color: Red
